datetime,line_id,stop_id,bus_id,boarding,alighting,current_load,new_load,occupancy_rate,trip_id,stop_sequence,total_stops,fitness_score,source
2025-06-02 07:13:20.290905,101,11168,opt_bus_101_0623,0,0,0,0,0.0,2,10,78,0.8121139032132771,optimized_schedule
2025-06-02 07:13:47.379170,101-1,11180,opt_bus_101-1_0540,0,0,0,0,0.0,37,20,89,0.8126430487707956,optimized_schedule
2025-06-02 07:14:30.248509,101,11183,opt_bus_101_0528,0,0,0,0,0.0,1,22,78,0.8121139032132771,optimized_schedule
2025-06-02 07:19:15.860888,101,11169,opt_bus_101_0623,0,0,0,0,0.0,2,11,78,0.8121139032132771,optimized_schedule
2025-06-02 07:20:55.821718,101,10268,opt_bus_101_0702,0,0,0,0,0.0,3,3,78,0.8121139032132771,optimized_schedule
2025-06-02 07:21:13.017900,101-1,11174,opt_bus_101-1_0559,0,0,0,0,0.0,38,16,89,0.8126430487707956,optimized_schedule
2025-06-02 07:22:29.129739,101-1,11181,opt_bus_101-1_0540,0,0,0,0,0.0,37,21,89,0.8126430487707956,optimized_schedule
2025-06-02 07:23:00.000000,101-1,10017,opt_bus_101-1_0723,0,0,0,0,0.0,39,1,89,0.8126430487707956,optimized_schedule
2025-06-02 07:24:02.369074,101,11185,opt_bus_101_0528,0,0,0,0,0.0,1,23,78,0.8121139032132771,optimized_schedule
2025-06-02 07:26:54.847223,101,11170,opt_bus_101_0623,0,0,0,0,0.0,2,12,78,0.8121139032132771,optimized_schedule
2025-06-02 07:28:30.607998,101-1,11182,opt_bus_101-1_0540,0,0,0,0,0.0,37,22,89,0.8126430487707956,optimized_schedule
2025-06-02 07:30:19.422625,101-1,10028,opt_bus_101-1_0723,0,0,0,0,0.0,39,2,89,0.8126430487707956,optimized_schedule
2025-06-02 07:30:50.357192,101,10297,opt_bus_101_0702,0,0,0,0,0.0,3,4,78,0.8121139032132771,optimized_schedule
2025-06-02 07:30:59.093008,101-1,11177,opt_bus_101-1_0559,0,0,0,0,0.0,38,17,89,0.8126430487707956,optimized_schedule
2025-06-02 07:31:56.662197,101,11186,opt_bus_101_0528,0,0,0,0,0.0,1,24,78,0.8121139032132771,optimized_schedule
2025-06-02 07:32:31.420727,101,11171,opt_bus_101_0623,0,0,0,0,0.0,2,13,78,0.8121139032132771,optimized_schedule
2025-06-02 07:33:54.977123,101-1,11183,opt_bus_101-1_0540,0,0,0,0,0.0,37,23,89,0.8126430487707956,optimized_schedule
2025-06-02 07:36:13.380369,101-1,11178,opt_bus_101-1_0559,0,0,0,0,0.0,38,18,89,0.8126430487707956,optimized_schedule
2025-06-02 07:38:23.640650,101,10401,opt_bus_101_0702,0,0,0,0,0.0,3,5,78,0.8121139032132771,optimized_schedule
2025-06-02 07:39:00.000000,101,10017,opt_bus_101_0739,0,0,0,0,0.0,4,1,78,0.8121139032132771,optimized_schedule
2025-06-02 07:39:01.531175,101,11187,opt_bus_101_0528,0,0,0,0,0.0,1,25,78,0.8121139032132771,optimized_schedule
2025-06-02 07:40:15.800379,101-1,10113,opt_bus_101-1_0723,0,0,0,0,0.0,39,3,89,0.8126430487707956,optimized_schedule
2025-06-02 07:40:52.500960,101,11173,opt_bus_101_0623,0,0,0,0,0.0,2,14,78,0.8121139032132771,optimized_schedule
2025-06-02 07:41:49.148908,101-1,11185,opt_bus_101-1_0540,0,0,0,0,0.0,37,24,89,0.8126430487707956,optimized_schedule
2025-06-02 07:42:22.894005,101-1,11179,opt_bus_101-1_0559,0,0,0,0,0.0,38,19,89,0.8126430487707956,optimized_schedule
2025-06-02 07:47:34.917967,101-1,10268,opt_bus_101-1_0723,0,0,0,0,0.0,39,4,89,0.8126430487707956,optimized_schedule
2025-06-02 07:47:48.549340,101,11258,opt_bus_101_0528,0,0,0,0,0.0,1,26,78,0.8121139032132771,optimized_schedule
2025-06-02 07:48:04.666025,101,10113,opt_bus_101_0739,0,0,0,0,0.0,4,2,78,0.8121139032132771,optimized_schedule
2025-06-02 07:48:08.067678,101,10550,opt_bus_101_0702,0,0,0,0,0.0,3,6,78,0.8121139032132771,optimized_schedule
2025-06-02 07:49:57.993964,101-1,11180,opt_bus_101-1_0559,0,0,0,0,0.0,38,20,89,0.8126430487707956,optimized_schedule
2025-06-02 07:50:35.551428,101,11174,opt_bus_101_0623,0,0,0,0,0.0,2,15,78,0.8121139032132771,optimized_schedule
2025-06-02 07:51:20.410855,101-1,11186,opt_bus_101-1_0540,0,0,0,0,0.0,37,25,89,0.8126430487707956,optimized_schedule
2025-06-02 07:53:00.000000,101-1,10017,opt_bus_101-1_0753,0,0,0,0,0.0,40,1,89,0.8126430487707956,optimized_schedule
2025-06-02 07:53:46.939869,101,10883,opt_bus_101_0702,0,0,0,0,0.0,3,7,78,0.8121139032132771,optimized_schedule
2025-06-02 07:56:05.781206,101,11260,opt_bus_101_0528,0,0,0,0,0.0,1,27,78,0.8121139032132771,optimized_schedule
2025-06-02 07:56:31.053700,101-1,10297,opt_bus_101-1_0723,0,0,0,0,0.0,39,5,89,0.8126430487707956,optimized_schedule
2025-06-02 07:56:37.826966,101-1,11187,opt_bus_101-1_0540,0,0,0,0,0.0,37,26,89,0.8126430487707956,optimized_schedule
2025-06-02 07:57:55.821718,101,10268,opt_bus_101_0739,0,0,0,0,0.0,4,3,78,0.8121139032132771,optimized_schedule
2025-06-02 07:58:39.744533,101-1,11181,opt_bus_101-1_0559,0,0,0,0,0.0,38,21,89,0.8126430487707956,optimized_schedule
2025-06-02 07:59:25.929360,101,11166,opt_bus_101_0702,0,0,0,0,0.0,3,8,78,0.8121139032132771,optimized_schedule
2025-06-02 07:59:40.546456,101,11177,opt_bus_101_0623,0,0,0,0,0.0,2,16,78,0.8121139032132771,optimized_schedule
2025-06-02 08:00:00.000000,101,10017,opt_bus_101_0800,0,0,0,0,0.0,5,1,78,0.8121139032132771,optimized_schedule
2025-06-02 08:00:00.000000,101-1,10017,opt_bus_101-1_0800,0,0,0,0,0.0,41,1,89,0.8126430487707956,optimized_schedule
2025-06-02 08:00:19.422625,101-1,10028,opt_bus_101-1_0753,0,0,0,0,0.0,40,2,89,0.8126430487707956,optimized_schedule
2025-06-02 08:03:37.022668,101-1,11258,opt_bus_101-1_0540,0,0,0,0,0.0,37,27,89,0.8126430487707956,optimized_schedule
2025-06-02 08:04:35.690797,101,11261,opt_bus_101_0528,0,0,0,0,0.0,1,28,78,0.8121139032132771,optimized_schedule
2025-06-02 08:04:41.222792,101-1,11182,opt_bus_101-1_0559,0,0,0,0,0.0,38,22,89,0.8126430487707956,optimized_schedule
2025-06-02 08:06:31.607049,101-1,10401,opt_bus_101-1_0723,0,0,0,0,0.0,39,6,89,0.8126430487707956,optimized_schedule
